Model Year,Mfr Name,Division,Carline,Eng Displ,# Cyl,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify.,Carline Class Desc
2015,Honda,Acura,ILX,2,4,24,35,28,Gasoline (Premium Unleaded Recommended),2050,2050,Compact Cars
2015,Honda,Acura,ILX,2.4,4,22,31,25,Gasoline (Premium Unleaded Recommended),2300,2300,Compact Cars
2015,Honda,Acura,TLX,2.4,4,24,35,28,Gasoline (Premium Unleaded Recommended),2050,2050,Compact Cars
2015,Honda,Acura,TLX,3.5,6,21,34,25,Gasoline (Premium Unleaded Recommended),2300,2300,Compact Cars
2015,Honda,Acura,TLX AWD,3.5,6,21,31,25,Gasoline (Premium Unleaded Recommended),2300,2300,Compact Cars
2015,Volkswagen Group of,Audi,A4,2,4,24,32,27,Gasoline (Premium Unleaded Recommended),2100,2100,Compact Cars
2015,Volkswagen Group of,Audi,A4 quattro,2,4,21,30,25,Gasoline (Premium Unleaded Recommended),2300,2300,Compact Cars
2015,Volkswagen Group of,Audi,A4 quattro,2,4,22,32,26,Gasoline (Premium Unleaded Recommended),2200,2200,Compact Cars
2015,Volkswagen Group of,Audi,Q3,2,4,20,29,23,Gasoline (Premium Unleaded Recommended),2500,2500,Compact Cars
2015,Volkswagen Group of,Audi,Q3 quattro,2,4,20,28,23,Gasoline (Premium Unleaded Recommended),2500,2500,Compact Cars
2015,Volkswagen Group of,Audi,S4,3,6,18,28,21,Gasoline (Premium Unleaded Recommended),2700,2700,Compact Cars
2015,Volkswagen Group of,Audi,S4,3,6,17,26,20,Gasoline (Premium Unleaded Recommended),2850,2850,Compact Cars
2015,BMW,BMW,320i,2,4,24,36,28,Gasoline (Premium Unleaded Recommended),2050,2050,Compact Cars
2015,BMW,BMW,320i,2,4,23,36,27,Gasoline (Premium Unleaded Recommended),2100,2100,Compact Cars
2015,BMW,BMW,320i xDrive,2,4,23,35,27,Gasoline (Premium Unleaded Recommended),2100,2100,Compact Cars
2015,BMW,BMW,328i,2,4,23,35,27,Gasoline (Premium Unleaded Recommended),2100,2100,Compact Cars
2015,BMW,BMW,328i,2,4,22,34,26,Gasoline (Premium Unleaded Recommended),2200,2200,Compact Cars
2015,BMW,BMW,328i xDrive,2,4,22,33,26,Gasoline (Premium Unleaded Recommended),2200,2200,Compact Cars
2015,BMW,BMW,335i,3,6,21,32,25,Gasoline (Premium Unleaded Recommended),2300,2300,Compact Cars
2015,BMW,BMW,335i,3,6,20,30,24,Gasoline (Premium Unleaded Recommended),2400,2400,Compact Cars
2015,BMW,BMW,335i xDrive,3,6,20,30,24,Gasoline (Premium Unleaded Recommended),2400,2400,Compact Cars
2015,BMW,BMW,335i xDrive,3,6,20,28,23,Gasoline (Premium Unleaded Recommended),2500,2500,Compact Cars
2015,BMW,BMW,428i Coupe,2,4,23,35,27,Gasoline (Premium Unleaded Recommended),2100,2100,Compact Cars
2015,BMW,BMW,428i Coupe,2,4,22,34,26,Gasoline (Premium Unleaded Recommended),2200,2200,Compact Cars
2015,BMW,BMW,428i Gran Coupe,2,4,23,34,27,Gasoline (Premium Unleaded Recommended),2100,2100,Compact Cars
2015,BMW,BMW,428i xDrive Coupe,2,4,22,33,26,Gasoline (Premium Unleaded Recommended),2200,2200,Compact Cars
2015,BMW,BMW,428i xDrive Gran Coupe,2,4,22,32,26,Gasoline (Premium Unleaded Recommended),2200,2200,Compact Cars
2015,BMW,BMW,435i Coupe,3,6,21,32,25,Gasoline (Premium Unleaded Recommended),2300,2300,Compact Cars
2015,BMW,BMW,435i Coupe,3,6,20,30,24,Gasoline (Premium Unleaded Recommended),2400,2400,Compact Cars
2015,BMW,BMW,435i Gran Coupe,3,6,21,32,25,Gasoline (Premium Unleaded Recommended),2300,2300,Compact Cars
2015,BMW,BMW,435i xDrive Coupe,3,6,20,30,24,Gasoline (Premium Unleaded Recommended),2400,2400,Compact Cars
2015,BMW,BMW,435i xDrive Coupe,3,6,20,28,23,Gasoline (Premium Unleaded Recommended),2500,2500,Compact Cars
2015,BMW,BMW,435i xDrive Gran Coupe,3,6,20,31,24,Gasoline (Premium Unleaded Recommended),2400,2400,Compact Cars
2015,BMW,BMW,640i Gran Coupe,3,6,20,31,24,Gasoline (Premium Unleaded Recommended),2400,2400,Compact Cars
2015,BMW,BMW,640i xDrive Gran Coupe,3,6,20,29,23,Gasoline (Premium Unleaded Recommended),2500,2500,Compact Cars
2015,BMW,BMW,650i Gran Coupe,4.4,8,17,25,20,Gasoline (Premium Unleaded Recommended),2850,2850,Compact Cars
2015,BMW,BMW,650i xDrive Gran Coupe,4.4,8,16,24,19,Gasoline (Premium Unleaded Recommended),3000,3000,Compact Cars
2015,BMW,BMW,ActiveHybrid 3,3,6,25,33,28,Gasoline (Premium Unleaded Recommended),2050,2050,Compact Cars
2015,BMW,BMW,Alpina B6 Gran Coupe xDrive,4.4,8,16,24,19,Gasoline (Premium Unleaded Recommended),3000,3000,Compact Cars
2015,BMW,BMW,M3,3,6,17,24,19,Gasoline (Premium Unleaded Recommended),3000,3000,Compact Cars
